Cities with Highest Senior Population,Total Population,Percent 65+,People 65+ (Est.),Facebook Profiles,Facebook Users 65+,
Arkansas,30,50,,,,
California,390,1000,,,,
Colorado,70,110,,,,
Connecticut,30,70,,,,
Delaware,10,20,,,,
District of Columbia,20,50,,,,
Florida,210,590,,,,
Georgia,140,390,,,,
Hawaii,10,30,,,,
Idaho,10,20,,,,
Illinois,140,320,,,,
Indiana,70,140,,,,
Iowa,30,50,,,,
Kansas,30,50,,,,
Kentucky,50,90,,,,
Louisiana,40,110,,,,
Maine,10,20,,,,
Maryland,70,170,,,,
Massachusetts,50,140,,,,
Michigan,110,210,,,,
Minnesota,50,110,,,,
Mississippi,30,70,,,,
Missouri,70,110,,,,
Montana,260,280,,,,
Nebraska,20,30,,,,
Nevada,20,70,,,,
New Hampshire,10,20,,,,
New Jersey,70,210,,,,
New Mexico,20,30,,,,
New York,170,480,,,,
North Carolina,110,260,,,,
North Dakota,210,280,,,,
Ohio,110,260,,,,
Oklahoma,40,70,,,,
Oregon,40,70,,,,
Pennsylvania,140,260,,,,
Rhode Island,10,20,,,,
South Carolina,50,110,,,,
South Dakota,220,280,,,,
Tennessee,110,170,,,,
Texas,320,880,,,,
Utah,20,50,,,,
Vermont,210,230,,,,
Virginia,90,210,,,,
Washington,70,140,,,,
West Virginia,20,30,,,,
Wisconsin,50,90,,,,
Wyoming,200,230,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
United States,monthly searches,annual,,,,
Kim Kardashian,4090000,49080000,,,,
pope francis,246000,2952000,,,,
jesus christ,90500,1086000,,,,
jesus,301000,3612000,,,,
